description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
MR T SPINE SCAN WITH CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No,,,,,,
PELVIS (AP & FROG HIPS),Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
R 36002 THROMBIN INJ PSEUDOANERYSM RIGHT,Vascular,Ultrasound-guided thrombin injection treats a pseudoaneurysm by injecting thrombin into the pseudoaneurysm sac using imaging guidance.,Ultrasound,Yes,,,,,,
"R PATELLA (AP, LAT & SUNRISE) RIGHT",MSK Lower Limb,"AP, lateral and sunrise views of the patella are x-rays of the kneecap to evaluate fracture or alignment.",X-ray,No,,,,,,
R VENOUS DUP UPPER EXT UNILATERAL RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
RP FOREARM (AP & LAT) RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
SACRUM/COCCYX,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"TRANSCATH PLCT STENTS, INITIAL VESSEL",Vascular,Transcatheter placement of stents in the initial vessel involves inserting a catheter and deploying a stent under fluoroscopic guidancehttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Fluoroscopy,Yes,,,,,
TRANSCATH THROMBOYSUS INFUSION,Vascular,Transcatheter thrombolysis infusion involves delivering clot-dissolving medication through a catheter into a blood clot under imaging guidance.,Interventional procedure,Yes,,,,,,
"B ANKLE (AP, LAT & OBLIQUE) BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"B ELBOW (AP, LAT & OBLIQUE) BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
B KNEE (3 VIEWS) BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
CT SINUS AXIAL W/VTI,Head,An axial CT of the sinuses with volumetric imaging provides cross-sectional views of the paranasal sinuses.,CT,No,,,,,,
L RENAL TRANSPLANT U.S. LEFT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
LP SHOULDER 1 VIEW LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
MR ABDOMEN W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No,,,,,,
OL HIP UNILAT MIN 2 VIEWS IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
PERC PLCMT IVC FILTER,Vascular,Percutaneous placement of an inferior vena cava filter inserts a filter through a catheter into the IVC under imaging guidancehttps://www.radiologyinfo.org/en/info/venacavafilter#:~:text=How%20does%20the%20procedure%20work%3F.,Fluoroscopy,Yes,,,,,,
PL UNILAT UP EXT VEINS US PORT LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
RO LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST RIGHT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
US MCARDLE THYROID SCAN,Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No,,,,,,
US RENAL ARTERY DOPPLER,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
ART VENEOUS SHUNT,Vascular,Creation of an arteriovenous shunt for dialysis involves connecting an artery and a vein surgically or percutaneously.,Interventional procedure,Yes,,,,,,
"BX SUPERFISCAL CER,AXL OR ING",Vascular,"Biopsy of superficial cervical, axillary or inguinal lymph nodes uses imaging guidance to sample tissue with a needle.",Interventional procedure,Yes,,,,,,
INJ EXTREMITY VENOGRAM,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
INTRO CATH TO PELVIS FOR DRAINAGE AND INJ,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Angiography,Yes,,,,,,
L ABDOMEN (WITH LAT DECUB) LEFT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
MRA BRAIN W&W/O CONTRAST,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",MRI,No,,,,,,
MRA CHEST W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
MRA PELVIS W&W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No,,,,,,
OL FEMUR (AP & LAT) IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
P CAROTID LMTD/ DPP PORT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
"P SKULL (AP, TOWNES & LAT) TRAUMA PORT",Head,"AP, Towne and lateral skull radiographs image the skull to evaluate trauma; the Towne view is an angled AP projectionhttps://radiopaedia.org/articles/skull-towne-view-1#:~:text=The%20Towne%20view%C2%A0is%20an%20angled,in%20the%20shadow%20of%20the.",X-ray,No,,,,,,
PELVIS (AP & LAT),Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
R CT UP EXT W/C RIGHT,MSK Upper Limb,A right upper extremity CT scan with contrast provides cross-sectional images of the arm.,CT,No,,,,,,
"RP KNEE (AP, LAT & OBLIQUE) RIGHT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
RP SHOULDER 1 VIEW RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
ABDOMINAL A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No,,,,,,
B ANKLE AP & LAT STANDING BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BAS/UGI,Abdomen,A barium swallow or upper GI exam uses fluoroscopy and barium to evaluate the esophagus and stomachhttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Upper%20gastrointestinal%20tract%20radiography%20or,blood%20in%20the%20stool%20andhttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Fluoroscopy%20makes%20it%20possible%20to,the%20esophagus%2C%20stomach%20and%20duodenum.,Fluoroscopy,No,,,,
CARDIAC PERFUSION PHARM,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No,,,,,,
L CHEST (LAT DECUB ONLY) LEFT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
LP US EXTREMITY NONVASCULAR LEFT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
MR BRACHIAL PLEXUS W&W/O CONTRAST,Neck,MRI of the brachial plexus with and without contrast images the nerve roots and plexus in the neck and shoulder region.,MRI,No,,,,,,
P ACUTE ABD SERIES (2-3 VIEWS OF ABD & SGL CHEST VIEW) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
P DUPLEX DOP ABD/PEL LIMITED PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
P TRAUMA #3 (PORT CHEST ONLY) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
PL UNILAT LOWER EXT VEINS PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R FOOT (AP & LAT) STANDING RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R MR CALF W&W/O CONTRAST RIGHT,MSK Lower Limb,An MRI of the right calf with and without contrast evaluates muscles and soft tissues of the lower leg.,MRI,No,,,,,,
"RP SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
SPLEEN ULTRASOUND,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No,,,,,,
T-L SPINE 3' FILM AP & LAT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
BIL ENDOSCOPY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CT BONE BX SUPERFICIAL,MSK Upper Limb,CT-guided superficial bone biopsy uses CT imaging to guide a needle into a superficial bone lesion to obtain tissuehttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.,CT,Yes,,,,,,
CT CHEST W/CONT+RECONSTRUCTION,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
CT PARACENTESIS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,Yes,,,,,,
EXT UNILAT A-GRAM,Vascular,An extremity unilateral angiogram involves inserting a catheter into a limb artery and injecting contrast to image the vessel under fluoroscopyhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Fluoroscopy,Yes,,,,,
"INJ/EVAL ANY GI TUBE, ALL INCL.",Abdomen,Injection and evaluation of any gastrointestinal tube involves injecting contrast through an existing feeding or drainage tube and obtaining x-rays to check position.,X-ray,No,,,,,,
L MR THIGH W&W/O CONTRAST LEFT,MSK Lower Limb,An MRI of the left thigh with and without contrast images muscles and soft tissues of the thigh.,MRI,No,,,,,,
MR CARDIAC W/FLOW/VEL NO CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No,,,,,,
MR L SPINE WITH CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No,,,,,,
"O SKULL (AP, TOWNES & LAT) TRAUMA IN O.R.",Head,"Intraoperative skull radiographs (AP, Towne and lateral) image the head during surgery to evaluate trauma.",X-ray,No,,,,,,
P BABYGRAM CHEST & ABD (2 FILMS STANDARD) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
P BABYGRAM SEPARATE CXR & ABD VIEWS 2 FILMS PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
PL ABDOMEN (LAT DECUB ONLY) PORT LEFT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
R KNEE 2 VIEW PORTABLE RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
RP HIP UNILAT MIN 2 VIEWS RIGHT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
SMALL BOWEL ONLY (GASTROGRAF),Abdomen,A small bowel follow-through with Gastrografin uses water-soluble contrast and fluoroscopy to image the small intestine; the patient drinks contrast and the exam is noninvasive.,Fluoroscopy,No,,,,,,
TRANSCATHETER INFUSION NOT LYSIS,Vascular,Transcatheter infusion (not for thrombolysis) involves delivering medication through a catheter into a vessel under imaging guidance.,Interventional procedure,Yes,,,,,,
UGI AIR,Abdomen,An upper GI air-contrast study uses effervescent granules and barium to produce double-contrast fluoroscopic images of the stomach and esophagushttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Upper%20gastrointestinal%20tract%20radiography%20or,blood%20in%20the%20stool%20andhttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Fluoroscopy%20makes%20it%20possible%20to,the%20esophagus%2C%20stomach%20and%20duodenum.,Fluoroscopy,No,,,,
VERT/CAROTID A-GRAM,Neck,The description involves imaging of the neck or cervical region.,Angiography,No,,,,,,
CARDIAC PERFUSION PERSAN 2-DAY,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No,,,,,,
CT ABDOMEN W/CONTRAST W/ONC TABLE,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
ERCP BILIARY ONLY PORTABLY BY TECH,Abdomen,Endoscopic retrograde cholangiopancreatography (ERCP) combines endoscopy and fluoroscopy to inject contrast into the bile ducts and is an invasive procedurehttps://www.niddk.nih.gov/health-information/diagnostic-tests/endoscopic-retrograde-cholangiopancreatography#:~:text=You%E2%80%99ll%20be%20asked%20to%20lie,video%20image%20to%20a%20monitor.,Endoscopy/Fluoroscopy,Yes,,,,,
L CHEST U.S. LEFT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
L DIG DIAGNOSTIC MAMMO UNLIAT LEFT,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
L MR ANKLE W/O CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
MR BRACHIAL PLEXUS,Neck,MRI of the brachial plexus evaluates the nerves in the neck and shoulder region using magnetic resonance imaging.,MRI,No,,,,,,
MR PELVIS W & W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No,,,,,,
MR SPECTROSCOPY,Head,"Magnetic resonance spectroscopy is an MRI technique that evaluates the chemical composition of tissues, often used for brain studies; it is noninvasive.",MRI,No,,,,,,
"MRI SOFT TISUUE NECK, W/O CONTRAST",Neck,The description involves imaging of the neck or cervical region.,MRI,No,,,,,,
P ART EXT (REST ONLY) PORT,Vascular,A peripheral arterial extremity Doppler ultrasound at rest evaluates arterial blood flow in a limb using ultrasound.,Ultrasound,No,,,,,,
P PLEURAL ASP BY RADIOLOGIST PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes,,,,,,
R CHEST U.S. RIGHT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
"SHUNT SERIES AP & LAT SKULL, AP CHEST, AP ABDOMEN",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
US MULT/COMP ABSC/CYST DRAIN/INCISION,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,Yes,,,,,,
"B ANKLE/FOOT (AP, LAT & OBL) BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BP TIB/FIB (AP & LAT) BILAT PORT,MSK Lower Limb,Bilateral tibia/fibula x-rays (AP and lateral views) image both lower legs.,X-ray,No,,,,,,
"CATH,HEMO/PERTI DIALYSIS LONG TERM",Vascular,Placement of a long-term hemodialysis or peritoneal dialysis catheter involves inserting a catheter into a vein or peritoneal cavity under imaging guidance.,Interventional procedure,Yes,,,,,,
CLINICAL RESEARCH GRANT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CT BONE DEEP BX,MSK Upper Limb,CT-guided deep bone biopsy uses CT imaging to guide a needle into a deep bone lesion for tissue samplinghttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.,CT,Yes,,,,,,
EA ADD'L VESSEL AFTER BASIC A-GRAM,Vascular,Each additional vessel after a basic angiogram refers to additional selective catheterization and contrast injection into another vesselhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Fluoroscopy,Yes,,,,,
ED CODE STROKE ONLY CT,Head,A CT scan for stroke evaluation images the brain to detect hemorrhage or ischemia; CT is noninvasive.,CT,No,,,,,,
L-SPINE (WITH OBLIQUE),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"MR CARDIAC VELOCITY FLOW MAP, ADD-ON",Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No,,,,,,
NEONATAL ABDOMEN,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
NG/OG TUBE PLACEMENT BY MD UNDER FLUORO,Abdomen,Placing a nasogastric or orogastric tube under fluoroscopy involves inserting the tube through the nose or mouth into the stomach while monitoring its progress with real-time x-rayhttps://mdsearchlight.com/diagnostics/fluoroscopy-nasogastric-feeding-tube-placement-ng-tube/#:~:text=Placing%20a%20nasogastric%20tube%20involves,reduces%20the%20risk%20of%20complications.,Fluoroscopy,Yes,,,,,
P EMERG BILAT LOWER EXT VEINS PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"P ORBITS (WATERS, CALDWELL & LAT) PORT",Head,"Waters, Caldwell and lateral views of the orbits are radiographic projections of the eye sockets and facial bones.",X-ray,No,,,,,,
PERC PLCMT GASTROSOTMY TUBE,Abdomen,Percutaneous placement of a gastrostomy tube involves using fluoroscopy to insert a feeding tube through the abdominal wall into the stomachhttps://www.albanyir.com/gastrostomy-tube-placement#:~:text=A%20gastrostomy%20tube%20is%20a,an%20interventional%20radiologist%20using%20fluoroscopy.,Fluoroscopy,Yes,,,,,
PL ABDOMEN (WITH LAT DECUB) PORT LEFT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
RP SHOULDER 2-3 VIEWS NON TRAUMA RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
SPINAL FLUORO WITHOUT RADIOLOGIST,Spine,Spinal fluoroscopy provides real-time x-ray images of the spine during procedures; imaging itself is noninvasive.,Fluoroscopy,No,,,,,,
