description,class,class_reason,tool,is_invasive
B CHEST (LAT DECUB ONLY) BILAT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
B CT LOW WXT W/C BILAT,MSK Lower Limb,A bilateral lower extremity CT scan with contrast produces cross-sectional images of both legs.,CT,No
B MR HIP W/O CONRAST BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
BX-NEEDLE KIDNEY BY RADIOLOGIST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes
C-SPINE NON TRAUMA W/OBLS 4 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"C-SPINE NON-TRAUMA W/OBLS, FLEX &EXT 5 VIEWS",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"CATHETER, DRAINAGE",Abdomen,Placement of a drainage catheter involves inserting a catheter into a fluid collection under imaging guidance to drain it.,Interventional procedure,Yes
ERCP BILIARY&PANCREAS PORTABLY BY TECH,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
FULL FETAL HIGH RISK,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
INSERT ABD PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
L MR ANKLE W&W/O CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L MR FOOT W/O CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
"MR NEURO SCOUTS ONLY, NO CHARGE",Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",MRI,No
MRCP W/SECRETIN (ABD W&W/O C),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
P ART DUP EXT UP UNI OR LMTD PORT,Vascular,A port-coded arterial duplex ultrasound of the upper extremity (unilateral or limited) assesses arterial blood flow using ultrasound.,Ultrasound,No
"P C-SPINE, TRAUMA PORT",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
R STAND FEET (AP&LAT) NON-STAND OBL 3 VIEWS RIGHT,MSK Lower Limb,"Right standing foot x-rays (AP, lateral and oblique) image the bones of the foot while weight-bearing.",X-ray,No
RO FOREARM (AP & LAT) RIGHT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
RPR ALL TYPES/SITES W/O PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
AP/PA SINGLE VIEW EXPIRATORY CHEST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
B EMERG. LOWER EXT VEINS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B FEMORAL VASCULAR US BILAT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
BLADDER VOLUMETRIC US,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No
"BP FOOT AP,LAT & OBL BILAT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BP WRIST(3 + VIEWS) BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
CARDIAC PERFUSION REST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No
CERVICAL SINGLE VIEW IN OR,Spine,A single-view cervical spine x-ray taken in the operating room images the cervical vertebrae.,X-ray,No
CT RENAL BX W/RADIOLOGIST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,CT,No
CT SINUS W/ & W/O CONTRAST,Head,A CT scan of the sinuses with and without contrast provides detailed cross-sectional images of the paranasal sinus cavities.,CT,No
CTA CORONARY ARTERIES W/O QUANT CALCIUM,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No
L FOOT (AP & LAT) STANDING LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L HAND (AP & LAT) SOFT TISSUE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
L KNEE 2 VIEW PORTABLE LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L TIB/FIB (AP & LAT) SOFT TISSUE LEFT,MSK Lower Limb,Soft tissue x-rays of the left tibia and fibula (AP and lateral views) image the lower leg.,X-ray,No
LO WRIST(3 + VIEWS) LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
MRI INCOMPLETE STUDY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
P CHEST (PRE-OP PA & LAT) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
PARATHYROID U.S.,Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No
"PERC MECHANICAL THROMBECTOMY INCL LYTIC INJ, VENOUS",Vascular,The description involves imaging of blood vessels or vascular structures.,CT,No
R SCAPULA RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
R UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
REM/REPLACE EXT TRANSNEPHRIC URETERAL STENT,Genitourinary,Removing or replacing an external transnephric ureteral stent involves accessing the ureter through the kidney and exchanging the stent under imaging guidance.,Fluoroscopy,Yes
STENT CER/CAROTID ART W/ EMBOLIC PROTECTION,Neck,The description involves imaging of the neck or cervical region.,CT,Yes
SVC GRAM,Vascular,An SVC gram (superior vena cava angiogram) involves injecting contrast into the superior vena cava to image the vessel under fluoroscopyhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Yes
ABSCESS CHG & REINSERT,Abdomen,Changing and reinserting an abscess drain involves removing and replacing the drainage catheter under imaging guidancehttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.,Interventional procedure,Yes
C-SPINE (WITH FLEX & EXT ONLY) **,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CT ABD & PELVIS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT ABDOMEN W & W/O CONTRAST W/ONC TABLES,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
"CT ORBITS, SELLA & IAC W/ & W/O CONTRAST",Head,"A CT scan of the orbits, sella turcica and internal auditory canals with and without contrast images the structures of the head.",CT,No
DOBUTAMINE MIBI,Cardiothoracic,A dobutamine MIBI study is a pharmacologic stress myocardial perfusion scan using technetium-99m sestamibi to evaluate cardiac perfusion.,Nuclear medicine,No
FDG MYOCARDIAL VIABILITY,Cardiothoracic,FDG myocardial viability imaging uses positron emission tomography (PET) with FDG to assess heart muscle viability.,Nuclear medicine,No
FIBRIN STRIPPING SEPERATE ACCESS,Vascular,Fibrin sheath stripping involves removing fibrin buildup from a catheter by inserting a snare through a separate access; this is an interventional procedure.,Interventional procedure,Yes
L CT UP EXT W/C LEFT,MSK Upper Limb,A left upper extremity CT scan with contrast images the arm with cross-sectional CT.,CT,No
L ELBOW (AP & LAT) SOFT TISSUE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"L HAND, AP & LAT. VIEWS LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
L MR CALF W/O CONTRAST LEFT,MSK Lower Limb,An MRI of the left calf without contrast evaluates muscles and soft tissues of the lower leg.,MRI,No
"L PATELLA (AP, LAT & SUNRISE) LEFT",MSK Lower Limb,"The exam uses AP, lateral and sunrise projections of the patella (kneecap), imaging the musculoskeletal lower limb.",X-ray,No
"LO ANKLE (AP, LAT & OBLIQUE) LEFT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LO FOREARM (AP & LAT) LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
MR CARDIAC MORPH/FX NO CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No
MRA CAROTID/VERTEBRAL W&W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No
P CHEST FLUORO PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
PP ABDOMEN (SUPINE ONLY) PORT PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
R KNEE (MIN 4 VIEWS) RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"THOR SP,SINGLE FILM",Spine,A single thoracic spine film images the vertebrae of the thoracic spine.,X-ray,No
TRANCATHETER EMBOLIZATION,Vascular,"Transcatheter embolization blocks blood vessels to control bleeding or treat vascular conditions, so it involves the vascular system.",Interventional Procedure,Yes
US PERC NEEDLE BX MUSCLE,MSK Upper Limb,"The procedure is an ultrasound-guided percutaneous biopsy of muscle tissue; muscles are part of the musculoskeletal system, often biopsied from the upper limb.",Ultrasound,Yes
ADD'L 2ND/3RD ORDER ABD/PEL/LOWER EXT A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No
BOTH KNEES STANDING AP ONLY,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BP FEMUR (AP & LAT) BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
C-SPINE (SINGLE VIEW ONLY),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CAROTID/CEREBRAL UNILAT,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",X-ray,No
CT MUSCLE (SOFT TISSUE) BX,MSK Upper Limb,"This exam involves a CT-guided biopsy of a soft tissue mass or muscle, which relates to the musculoskeletal system.",CT,Yes
CT STEREOTAXIS NEURO W/O C,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",CT,No
CT THORACIC W&W/O CONTRAST,Chest,"A thoracic CT scans the chest, including lungs and mediastinum, so it belongs to the chest region.",CT,No
CT TRACHEA W&W/O C & 3D REND,Chest,This CT scan of the trachea evaluates the airway within the chest.,CT,No
CTA PANCREAS W/ CTCP,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
"D OR J TUBE PLACEMENT, ALL INCL.",Abdomen,Placement of duodenal or jejunal feeding tubes involves access to the gastrointestinal tract in the abdomen.,Interventional Procedure,Yes
INJ SINUS TRACT,Abdomen,"A sinogram involves injecting contrast into a sinus tract or fistula, which usually lies in the abdominal or pelvic region.",Fluoroscopy,Yes
"INJ SINUS TRACT, THERAPUTIC",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
L KNEE( (SINGLE VIEW) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LO HUMERUS (AP & LAT) LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"LP KNEE (AP, LAT & OBLIQUE) LEFT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
MR PROSTATE W & W/O CONTRAST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,MRI,No
MRA LOWER EXT W&W/O CONTRAST,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
P ERCP S&I (74330) PORT,Abdomen,Endoscopic retrograde cholangiopancreatography (ERCP) is performed to examine bile and pancreatic ducts within the abdomen.,Endoscopy/Fluoroscopy,Yes
"P GB DRAINAGE,INTRO PERC TRANHEP BIL US PORT",Abdomen,Percutaneous transhepatic gallbladder drainage accesses the biliary system in the abdomen to relieve obstruction.,Interventional Procedure,Yes
"PERC VERTEBROPSTY, LUMBAR",Spine,Percutaneous vertebroplasty treats compression fractures in the lumbar spine.,Interventional Procedure,Yes
PERSANTINE MIBI 2-DAY,Cardiothoracic,Persantine MIBI is a pharmacologic myocardial perfusion scan that evaluates blood flow to the heart.,Nuclear Medicine,No
PTA BRACHIOCEPHALIC,Vascular,Percutaneous transluminal angioplasty of the brachiocephalic vessels treats vascular stenosis.,Interventional Procedure,Yes
R ART DUP EXT UP UNI LMTD RIGHT,Vascular,"This study is a limited arterial duplex ultrasound of the right upper extremity, evaluating blood flow in arteries.",Ultrasound,No
"R KNEE (AP, LAT & TUNNEL) RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R MR CALF W/O CONTRAST RIGHT,MSK Lower Limb,MRI of the calf images the muscles and soft tissues of the lower limb.,MRI,No
R MR SHOULDER W&W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
THORACOSTOMY TUBE INSERTION,Chest,Thoracostomy places a tube into the pleural space to drain air or fluid from the chest.,Interventional Procedure,Yes
B HEEL (AXIAL & LATERAL) BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BABYGRAM SEPARATE CXR & ABD VIEWS 2 FILMS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
BX RETROPERITONEAL MASS PERCUT NEEDLE,Abdomen,"The exam involves a percutaneous needle biopsy of a retroperitoneal mass, located in the abdominal cavity.",Interventional Procedure,Yes
CT CERVICAL W&W/O CONSTRAST,Neck,This CT scan images the cervical spine or neck region.,CT,No
CT CHANGE PERCUTANEOUS TUBE,Abdomen,Changing a percutaneous drainage tube under CT guidance involves accessing the abdomen to replace a drainage catheter.,CT,Yes
CT PELVIS W/CONTRAST W/ONC TABLES,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
ENTIRE SPINE (AP & LAT ONLY),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
ERCP S/P DUODENAL/ENTERAL STENT PLACEMENT,Abdomen,"This procedure refers to ERCP performed after duodenal or enteral stent placement, evaluating or treating bile/pancreatic ducts in the abdomen.",Endoscopy/Fluoroscopy,Yes
L ART DUP EXT UP UNI LMTD LEFT,Vascular,This is a limited arterial duplex ultrasound of the left upper extremity to evaluate blood flow.,Ultrasound,No
L BABYGRAM CHEST DECUB ONLY (71035) LEFT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
LP ANKLE (2 VIEWS) LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
MRA NECK W/CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No
P NEONATAL HIP PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
PELVIS US  LIMIT TRANSVAG,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Ultrasound,No
PR UNILAT LOWER EXT VEINS PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R MR THIGH W/O CONTRAST RIGHT,MSK Lower Limb,"MRI of the right thigh evaluates muscles, bones and soft tissues of the lower limb.",MRI,No
REPOSITION GTUBE THROUGH DUODENUM,Abdomen,Repositioning a gastrostomy tube through the duodenum involves manipulating a feeding tube within the gastrointestinal tract.,Interventional Procedure,Yes
"TRANSLUMIN BAL ANGIOPLASTY, PERIPHERAL",Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
ABSCESSOGRAM,Abdomen,"An abscessogram involves injecting contrast into an abscess cavity, typically in the abdomen, to evaluate its size and drainage path.",CT,Yes
